pid,user,process_name,local_port,remote_ip,remote_port,cpu_percent,memory_rss_mb,timestamp,status,tag
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.002495545310552515,57.2,2025-05-25 17:29:53.384780,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.05885387610259825,26.36,2025-05-25 17:30:03.560607,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.13427938330653114,27.27,2025-05-25 17:30:03.560607,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52737,[2620:1ec:bdf::57],443,0.0,27.27,2025-05-25 17:30:03.560607,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.01429078920061985,57.2,2025-05-25 17:30:03.560607,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.001262244276851826,26.3,2025-05-25 17:30:13.731703,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.003284620228080829,27.27,2025-05-25 17:30:13.731703,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52737,[2620:1ec:bdf::57],443,0.0,27.27,2025-05-25 17:30:13.731703,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.007758455310969869,57.2,2025-05-25 17:30:13.731703,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.005928768589932513,26.31,2025-05-25 17:30:23.902554,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.03418095115265389,27.36,2025-05-25 17:30:23.902554,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52737,[2620:1ec:bdf::57],443,0.0,27.36,2025-05-25 17:30:23.902554,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.013649668526533886,57.2,2025-05-25 17:30:23.902554,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.07072945837129266,26.53,2025-05-25 17:30:34.076073,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.004043781480697095,27.36,2025-05-25 17:30:34.076073,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52737,[2620:1ec:bdf::57],443,0.0,27.36,2025-05-25 17:30:34.076073,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.028871218710447063,57.2,2025-05-25 17:30:34.076073,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.005041071346227865,26.52,2025-05-25 17:30:44.159130,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.0034986642122582577,27.36,2025-05-25 17:30:44.159130,ESTABLISHED,normal
